Authors;Title;Year;Source title;DOI;Link;Affiliations;Authors with affiliations;TIPO PESQUISA;INTERESSANTE?;Abstract;Author Keywords;Correspondence Address;Publisher;ISSN;ISBN;CODEN;PubMed ID;Language of Original Document;Abbreviated Source Title;EID;;;;;;;;;;;;;;;;;;;;;;
Karunaratne P., Moshtaghi M., Karunasekera S., Harwood A., Cohn T.;Multi-step prediction with missing smart sensor data using multi-task Gaussian processes;2018;Proceedings - 2017 IEEE International Conference on Big Data, Big Data 2017;10.1109/BigData.2017.8258044;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047868398&doi=10.1109%2fBigData.2017.8258044&partnerID=40&md5=2e49aa4e1b1aca1defe18bd37d617c41;School of Computing and Information Systems, University of Melbourne, Melbourne, Australia;"Karunaratne, P., School of Computing and Information Systems, University of Melbourne, Melbourne, Australia; Moshtaghi, M., School of Computing and Information Systems, University of Melbourne, Melbourne, Australia; Karunasekera, S., School of Computing and Information Systems, University of Melbourne, Melbourne, Australia; Harwood, A., School of Computing and Information Systems, University of Melbourne, Melbourne, Australia; Cohn, T., School of Computing and Information Systems, University of Melbourne, Melbourne, Australia";;;With the proliferation of sensors and the increased connectivity of citizens, many global cities are increasingly adopting Smart City initiatives. Such initiatives provide real-time monitoring capabilities, and effective modelling techniques allow the prediction of future states in a city. For example, urban electricity smart meter data can be utilised to predict future demand in order to facilitate capacity planning. However, the accuracy of this foresight is often marred by low quality and missing sensor data in real-world systems. In this work, we focus on the problem of reliable forecasting by mitigating the effect of missing data on forecast accuracy. In order to mitigate the effects of missing data, we develop a multi-task learning scheme to jointly learn Gaussian Process Regression models between highly correlated sensors. We demonstrate that our methods are robust in a variety of error generation scenarios. We validate our methods based on publicly available and real-world datasets related to electricity smart meters in a university campus and pedestrian counts in a global city, where we achieve significant improvement over competitive baselines and other effective forecasting methods. © 2017 IEEE.;"Gaussian Process Regression; Multi-step Forecasting; Multi-task Learning; Smart Cities; Smart Sensors; Time Series";;Institute of Electrical and Electronics Engineers Inc.;;9,78E+12;;;English;Proc. - IEEE Int. Conf. Big Data, Big Data;2-s2.0-85047868398;;;;;;;;;;;;;;;;;;;;;;
Chloupkova J., Svendsen G.T., Zdechovsky T.;A global meat tax: From big data to a double dividend;2018;Agricultural Economics (Czech Republic);10.17221/270/2016-AGRICECON;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048778884&doi=10.17221%2f270%2f2016-AGRICECON&partnerID=40&md5=4e9b719d00c0a20cbfefa9d96d7258d6;"European Commission and European Parliament, Brussels, Belgium; Department of Political Science, Aarhus University, Denmark; European Parliament, Brussels, Belgium";"Chloupkova, J., European Commission and European Parliament, Brussels, Belgium; Svendsen, G.T., Department of Political Science, Aarhus University, Denmark; Zdechovsky, T., European Parliament, Brussels, Belgium";;;The Food and Agriculture Organization of the United Nations (FAO) emphasizes the right of everyone to have access to safe, sufficient and nutritious food in its Rome Declaration. This article suggests how this noble FAO goal can be achieved. We suggest that a first step could be the introduction of a global meat tax, where the size of the negative externalities from meat production could be calculated based on foresight and big data. Applying the tool of a global meat tax will lead to a “double dividend” as negative externalities are reduced and at the same time huge tax revenues will be generated which could be used to make further steps in the direction of achieving the stated FAO goal in the Rome Declaration. © 2018, Agricultural Economics. All rights reserved.;"Climate change; Environment; Ethics; European Union (EU); Food; Food and agriculture organisation (FAO); Foresight; Health; Human health; Meat consumption; Negative externalities; Poverty; World trade organization (WTO)";"Chloupkova, J.; European Commission and European ParliamentBelgium; email: jarka.brussels@gmail.com";Agricultural Economics;0139570X;;;;English;Agric. Econ.;2-s2.0-85048778884;;;;;;;;;;;;;;;;;;;;;;
Kastrinos N.;Do statistics need foresight?;2018;Foresight;10.1108/FS-07-2017-0039;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045770164&doi=10.1108%2fFS-07-2017-0039&partnerID=40&md5=14177f966863feb0461835d75b09d72f;European Commission’s DG Research and Innovation, European Commission, Brussels, Belgium;Kastrinos, N., European Commission’s DG Research and Innovation, European Commission, Brussels, Belgium;;;Purpose: The purpose of this paper is to explore the relationship between foresight and official statistics in the context of sustainability and big-data. The aim is to draw ideas, guidance and lessons on how foresight could help national and international statistical offices deal with an increasingly turbulent and demanding environment. Design/methodology/approach: The paper analyzes the challenges and opportunities posed by big data and sustainability for official statistics. Findings: Drawing on the analysis of the BOHEMIA study – a foresight study launched by the European Commission to support its future policy for research and innovation – the paper proposes elements that could form a foresight programme for statistical offices. Originality/value: Statistical offices and foresight have been worlds apart. The need to engage with each other is a recent and interesting phenomenon. © 2018, Emerald Publishing Limited.;"Deliberative democracy; Foresight; Official statistics; Reflexive governance; Sustainable development";"Kastrinos, N.; European Commission’s DG Research and Innovation, European CommissionBelgium; email: nikolaos.kastrinos@ec.europa.eu";Emerald Group Publishing Ltd.;14636689;;;;English;Foresight;2-s2.0-85045770164;;;;;;;;;;;;;;;;;;;;;;
Wiener M., Gattringer R., Strehl F.;Collaborative open foresight - A new approach for inspiring discontinuous and sustainability-oriented innovations;2018;Technological Forecasting and Social Change;10.1016/j.techfore.2018.07.008;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050115467&doi=10.1016%2fj.techfore.2018.07.008&partnerID=40&md5=4d61b3943f53aa8684baa53175b0f826;"Institute for Integrated Quality Design, Johannes Kepler University, Altenbergerstraße 69, Linz, 4040, Austria; Institute of Strategic Management, Johannes Kepler University, Altenbergerstraße 69, Linz, 4040, Austria";"Wiener, M., Institute for Integrated Quality Design, Johannes Kepler University, Altenbergerstraße 69, Linz, 4040, Austria; Gattringer, R., Institute of Strategic Management, Johannes Kepler University, Altenbergerstraße 69, Linz, 4040, Austria; Strehl, F., Institute of Strategic Management, Johannes Kepler University, Altenbergerstraße 69, Linz, 4040, Austria";;;Disruptive changes (e.g. new technologies, services, and business models) present a variety of opportunities and risks for companies. They can contribute significantly not only to economic success but also to greater sustainability. Nevertheless, it is not a trivial task for established companies to recognize the potential of disruptive changes and to implement innovations in time. In this context, foresight and openness are proposed as promising approaches. This paper investigates the collaborative open foresight approach for inspiring discontinuous and sustainability-oriented innovations. The results of a longitudinal case study involving two companies show that the participants especially value that collaborative open foresight (1) fosters out-of-the-box thinking (2) supports breaking away from path dependency, and (3) increases the potential of innovations. Most importantly, the joint discussion and analysis of future developments (4) help to generate new insights regarding the opportunities and risks of the disruptive changes identified as well as their potential for discontinuous and sustainability-oriented innovations. It was particularly noteworthy that both companies recognized a significant value-added of collaborative open foresight compared to their previous foresight projects, so far conducted individually, but only one of the two companies could transfer the project's outcome to innovation projects. © 2018 Elsevier Inc.;"Collaborative open foresight; Discontinuous innovations; Incumbents; Sustainability-oriented innovations";"Wiener, M.; Institute for Integrated Quality Design, Johannes Kepler University, Altenbergerstraße 69, Austria; email: melanie.wiener@jku.at";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85050115467;;;;;;;;;;;;;;;;;;;;;;
Verdenhofa O., Afanas'jev M.V., Panchuk A., Kotelnykova I., Chumak G.;The conceptual bases of introduction of foresight marketing into business management;2018;Problems and Perspectives in Management;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053616614&partnerID=40&md5=688d696b4f1bf1b7e3484f803bd0a2ad;"Simon Kuznets Kharkiv National University of Economics, Ukraine; ISMA University, Latvia";"Verdenhofa, O., ISMA University, Latvia; Afanas'jev, M.V., Simon Kuznets Kharkiv National University of Economics, Ukraine; Panchuk, A., Simon Kuznets Kharkiv National University of Economics, Ukraine; Kotelnykova, I., Simon Kuznets Kharkiv National University of Economics, Ukraine; Chumak, G., Simon Kuznets Kharkiv National University of Economics, Ukraine";;;"The article outlines a critical analysis of theoretical approaches to the development of the concept of foresight marketing on the basis of which the own definition of “foresight marketing” has been developed. Modern enterprises are interested in receiving reasonable foresight forecasts in marketing, which was not sufficiently distributed in the practical activity of the enterprise. Theoretical and practical aspects of the foresight framework are still explored insufficiently. Therefore, the purpose of the article is to improve the theoretical framework of foresight marketing and to create the conceptual model of foresight marketing. The following scientific methods have been used in this research: system analysis, content analysis, comparative method, method of logical generalization, morphological method, dialectics of the relationship between fundamental and applied knowledge. The analysis revealed imperfection of the theoretical apparatus of foresight marketing, thus, the modern approach to the interconnection and balance of foresight marketing and strategic marketing on the enterprises was suggested. To develop a conceptual model of foresight marketing, the authors have considered and described its major components. A conceptual model of foresight marketing is a systematic combination of certain elements, namely: conditions, barriers, and prerequisites; subject and object; methodology of foresight marketing; principles, tools, and categories. The article presents a generalized model of foresight marketing process, which shows the basic subjects and bases on four consecutive stages. The authors provide a new perspective as for the concept of foresight marketing and the basic prerequisites for the implementation of foresight in marketing management. © 2015 Asociacion de Geografos Espanoles. All rights reserved.";"Conceptual model; Foresight; Foresight marketing; Management; Strategic marketing";;LLC CPC Business Perspectives;17277051;;;;English;Probl. Perspect. Manage.;2-s2.0-85053616614;;;;;;;;;;;;;;;;;;;;;;
Kim H., Ahn S.-J., Jung W.-S.;Horizon scanning in policy research database with a probabilistic topic model;2018;Technological Forecasting and Social Change;10.1016/j.techfore.2018.02.007;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042008530&doi=10.1016%2fj.techfore.2018.02.007&partnerID=40&md5=1e05c02c300e7874e6d4982f6beea2d9;"Department of Industrial and Management Engineering, Pohang University of Science and Technology (POSTECH), Pohang 37673, Republic of Korea, South Korea; Office of Strategic Foresight, Korea Institute of Science and Technology Evaluation and Planning (KISTEP), Seoul 06775, Republic of Korea; Department of Physics, Pohang University of Science and Technology (POSTECH), Pohang 37673, Republic of Korea, South Korea";"Kim, H., Department of Industrial and Management Engineering, Pohang University of Science and Technology (POSTECH), Pohang 37673, Republic of Korea, South Korea; Ahn, S.-J., Office of Strategic Foresight, Korea Institute of Science and Technology Evaluation and Planning (KISTEP), Seoul 06775, Republic of Korea; Jung, W.-S., Department of Industrial and Management Engineering, Pohang University of Science and Technology (POSTECH), Pohang 37673, Republic of Korea, South Korea, Department of Physics, Pohang University of Science and Technology (POSTECH), Pohang 37673, Republic of Korea, South Korea";;;National governments take advantage of collective intelligence when conducting foresight processes. They grasp emerging issues through expert reviews as well as public opinions. It raises national agendas and affects policy-making process. Therefore, by examining policy papers which contain societal issues, we can perceive past, current, and future environments. In this study, we exploit policy research database of Republic of Korea, which is a unique source that automatically collects all policy papers written by national research institutes, to extract latent topics and their trends over 10 years through a probabilistic topic model. Detected topics fairly correspond to expert-selected future drivers in national foresight report, implying that public discourse and policy agenda are coupled. We suggest to utilize open government data and text mining methods for building open foresight framework that various actors exchange their opinions on societal issues. © 2018 Elsevier Inc.;"Foresight; Horizon scanning; Latent Dirichlet allocation; Policy research database; Topic modeling";Ahn, S.-J.email: sein@kistep.re.kr;Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85042008530;;;;;;;;;;;;;;;;;;;;;;
Kaivo-Oja J., Ahlqvist T., Kuusi O., Linturi R., Roth S.;New industrial platforms and radical technology foresight: The case of 3D printing in Finland and Europe;2018;International Journal of Manufacturing Technology and Management;10.1504/IJMTM.2018.089465;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041184537&doi=10.1504%2fIJMTM.2018.089465&partnerID=40&md5=2f033a80866c9d2db54a99a9a9dc101a;"Turku School of Economics, Rehtorinpellonkatu 3, Turku, 20500, Finland; Geography Research Unit, University of Oulu, P.O. Box 3000FI-90014, Finland; Aalto University, What Futures Inc., Untamontie 3 C 19, Helsinki, 00650, Finland; Sovelto Plc, Ratapihantie 11, Helsinki, 00520, Finland; La Rochelle Business School, 102 Rue de Coureilles, La Rochelle, 17000, France";"Kaivo-Oja, J., Turku School of Economics, Rehtorinpellonkatu 3, Turku, 20500, Finland; Ahlqvist, T., Geography Research Unit, University of Oulu, P.O. Box 3000FI-90014, Finland; Kuusi, O., Aalto University, What Futures Inc., Untamontie 3 C 19, Helsinki, 00650, Finland; Linturi, R., Sovelto Plc, Ratapihantie 11, Helsinki, 00520, Finland; Roth, S., La Rochelle Business School, 102 Rue de Coureilles, La Rochelle, 17000, France";;;This article presents futures oriented analyses of 3D printing, which are based on technology foresight study performed in Finland in 2013. The methodological framework of the Finnish technology foresight study is shortly introduced and explained in this article. The analysis reflects current discussion about 3D printing technology options in Finland, as is reflected in report of Linturi et al. (2013, 2014). The analyses of 3D printing provided in this article are also linked to broader international and European context. TechCast study (Halal, 2013) and FutMan scenarios of JRC (Geyer et al., 2003a, 2003b) are elaborated. The analyses reveal several emerging aspects and bottlenecks of 3D printing and new industrial revolution. The emerging aspects are related to the rise of new technological possibilities and new production processes. The bottlenecks include issues such as lacking capacities and competencies of industrial actors in adopting new technological solutions, uncertainties in the efficiency and performance of 3D printing solutions, problematic of wider societal transition, and potential risks potentially generated by 3D printing systems and technologies. Copyright © 2018 Inderscience Enterprises Ltd.;"3D printing; Industrial scenarios; Innovation management; Innovation policy; Manufacturing; Radical technological solutions; Technology foresight";"Roth, S.; La Rochelle Business School, 102 Rue de Coureilles, France; email: strot@me.com";Inderscience Enterprises Ltd.;13682148;;;;English;Int. J. Manuf. Technol. Manage.;2-s2.0-85041184537;;;;;;;;;;;;;;;;;;;;;;
Lee C.-C., Chen K.-H.;Investigating Taiwan's integrated scenarios of climate change through visualization rhetoric in science communication;2018;Tamkang Journal of International Affairs;10.6185/TJIA.V.201807-22(1).0001;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051721350&doi=10.6185%2fTJIA.V.201807-22%281%29.0001&partnerID=40&md5=5fc47c58bf7f6f4b2484351a054804e2;Graduate Institute of Futures Studies, Tamkang University, Taiwan;"Lee, C.-C., Graduate Institute of Futures Studies, Tamkang University, Taiwan; Chen, K.-H., Graduate Institute of Futures Studies, Tamkang University, Taiwan";;;Visualization rhetoric is used as an analytical framework to examinethe visualized texts 'telling the story' of climate change issues in Taiwan from 2000 to 2017. The categories, characteristics, and visualization techniques from a variety of climate-related visual images andcontexts will be explored from the perspectives of visual persuasiveness, visual performance, and visual value. Devices for understanding the epistemological value and cultural function of data visualization and new ways to link human activity with changing climate issues of climate change are explored. From this analysis, four integrated scenarios were developed: Preferred (green Taiwan), Disowned (expert system), Integrated (a culture of foresight), and Disintegrated (Giddens' paradox). © 2018 Tamkang Journal of International Affairs. All rights reserved.;"Climate change; Scenarios; Science communication; Taiwan; Visualization rhetoric";"Chen, K.-H.; Graduate Institute of Futures Studies, Tamkang UniversityTaiwan; email: sochen@mail.tku.edu.tw";Tamkang University;10274979;;;;English;Tamkang J. Int. Aff.;2-s2.0-85051721350;;;;;;;;;;;;;;;;;;;;;;
McMahon G.;Forecast based operations I - A comparison with the rain-on-ground operational rationale;2018;2018 Hydrology and Water Resources Symposium, HWRS 2018: Water and Communities;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060729530&partnerID=40&md5=ec4ef3bbf4b9690227c920caf7d759c4;Rhodes Group, Australia;McMahon, G., Rhodes Group, Australia;;;A debate has developed since the 2011 Brisbane River flood about the practice of using rainfall forecasts in deciding releases from dams controlling floods. Risk managers recommend the use of the best available rainfall forecast, but some water managers have recommended use only of actual rainfalls. This paper uses risk management rules, constructs of foresight, notions of storage error and release error, and the risk concept of ‘regret’ to explain the advantages and disadvantages of both rationales. The conclusion - risk management performs better with the worst floods, and the alternative may perform better when forecast floods do not eventuate. © CURRAN-CONFERENCE. All rights reserved.;;"McMahon, G.; Rhodes GroupAustralia; email: gmcmahon@rhodesgroup.com.au";Engineers Australia;;9,78E+12;;;English;Hydrol. Water Resour. Symp., HWRS: Water Communities;2-s2.0-85060729530;;;;;;;;;;;;;;;;;;;;;;
Nagimov A.R., Akhmetshin E.M., Slanov V.P., Shpakova R.N., Solomonov M.P., Il’yaschenko D.P.;Foresight technologies in the formation of a sustainable regional development strategy;2018;European Research Studies Journal;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051782679&partnerID=40&md5=f330c86c6b5a6067665513e2cedd83a8;"Kazan Federal University, Naberezhnye Chelny Institute of KFU, Naberezhnye Chelny, Russian Federation; Kazan Federal University, Elabuga Institute of KFU, Elabuga, Russian Federation; Saint-Petersburg university of management technologies and economics, Saint-Petersburg, Russian Federation; Moscow State Institute of International Relations (MGIMO), Moscow, Russian Federation; North-Eastern Federal University, Scientific-Research Institute of Regional Economy of the North, Yakutsk, Russian Federation; Yurga Technological Institute branch of Tomsk Polytechnic University, Yurga, Russian Federation";"Nagimov, A.R., Kazan Federal University, Naberezhnye Chelny Institute of KFU, Naberezhnye Chelny, Russian Federation; Akhmetshin, E.M., Kazan Federal University, Elabuga Institute of KFU, Elabuga, Russian Federation; Slanov, V.P., Saint-Petersburg university of management technologies and economics, Saint-Petersburg, Russian Federation; Shpakova, R.N., Moscow State Institute of International Relations (MGIMO), Moscow, Russian Federation; Solomonov, M.P., North-Eastern Federal University, Scientific-Research Institute of Regional Economy of the North, Yakutsk, Russian Federation; Il’yaschenko, D.P., Yurga Technological Institute branch of Tomsk Polytechnic University, Yurga, Russian Federation";;;"In the modern regional management system, new principles, methods and tools should be used. The purpose of this paper is to substantiate theoretical and methodological approaches to the application of foresight technologies as a modern tool for optimizing the system of regional management in the formation of a strategy for sustainable development. The paper analyzes the Russian and international experience of foresight formation and identifies the features of foresight introduction at the meso level; a roadmap for the sustainable development of a region, developed based on an analysis of long-term forecast and program regional documents, as well as a SWOT analysis of the socio-ecological and economic system of the Republic of Tatarstan. The study determines the significance of foresight technologies in the context of the formation of sustainable development strategies for regional and municipal administrations. Recommendations on the developed ""Roadmap for the Sustainable Development of the Republic of Tatarstan"" were studied and used in implementing measures to ensure the sustainable development of the urban economy. © 2018 International Strategic Management Association. All Rights Reserved.";"Foresight; Foresight technology; Regional administration; Sustainable regional development";;International Strategic Management Association;11082976;;;;English;Eur. Res. Stud.;2-s2.0-85051782679;;;;;;;;;;;;;;;;;;;;;;
Gibson E., Daim T., Garces E., Dabic M.;Technology foresight: A bibliometric analysis to identify leading and emerging methods;2018;Foresight and STI Governance;10.17323/2500-2597.2018.1.6.24;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046648110&doi=10.17323%2f2500-2597.2018.1.6.24&partnerID=40&md5=7b628c4c5f568642fa7c9845ab78e8b4;"University of Colorado at Boulder, Boulder, CO  80309, United States; Portland State University, 1900 SW 4th Avenue, LL, Suite 50-02, Portland, OR  97201, United States; Nottingham Trent University, 50 Shakespeare St., Nottingham, NG1 4FQ, United Kingdom; University of Zagreb, Trg J.F. Kennedyja 6, Zagreb, 10 000, Croatia";"Gibson, E., University of Colorado at Boulder, Boulder, CO  80309, United States; Daim, T., Portland State University, 1900 SW 4th Avenue, LL, Suite 50-02, Portland, OR  97201, United States; Garces, E., Portland State University, 1900 SW 4th Avenue, LL, Suite 50-02, Portland, OR  97201, United States; Dabic, M., Nottingham Trent University, 50 Shakespeare St., Nottingham, NG1 4FQ, United Kingdom, University of Zagreb, Trg J.F. Kennedyja 6, Zagreb, 10 000, Croatia";;;Foresight studies provide essential information used by the government, industry and academia for technology planning and knowledge expansion. They are complicated, resource-intensive, and quite expensive. The approach, methods, and techniques must be carefully identified and selected. Despite the global importance of foresight activities, there are no frameworks to help one develop and plan a proper foresight study. This paper begins to close this gap by analyzing and comparing different schools of thought and updating the literature with the most current tools and methods. Data mining techniques are used to identify articles through an extensive literature review. Social Network Analysis (SNA) techniques are used to identify and analyze leading journals, articles, and researchers. A framework is developed here to provide a guide to help in the selection of methods and tools for different approaches. © 2018 National Research University, Higher School of Econoimics. All rights reserved.;"Adaptive foresight; Bibliometric tools; Data mining; Social network analysis (SNA); Strategic foresight; Technology foresight; Text mining";;National Research University, Higher School of Econoimics;23129972;;;;English;Foresight STI Gov.;2-s2.0-85046648110;;;;;;;;;;;;;;;;;;;;;;
Zinkina J., Shulgin S., Andreev A., Aleshkovski I., Korotayev A.;Forthcoming changes in world population distribution and global connectivity: Implications for global foresight;2018;International Journal of Foresight and Innovation Policy;10.1504/IJFIP.2018.097086;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058901650&doi=10.1504%2fIJFIP.2018.097086&partnerID=40&md5=81df7f6e427779e1f3358e96a17644f0;"Russian Presidential Academy of National Economy and Public Administration, Prospect Vernadskogo, 84, Moscow, 119571, Russian Federation; Lomonosov Moscow State University, Leninskiye Gory, 84, Moscow, 119991, Russian Federation; National Research University ‘Higher School of Economics’, Myasnitskaya St., 20, Moscow, 101000, Russian Federation";"Zinkina, J., Russian Presidential Academy of National Economy and Public Administration, Prospect Vernadskogo, 84, Moscow, 119571, Russian Federation; Shulgin, S., Russian Presidential Academy of National Economy and Public Administration, Prospect Vernadskogo, 84, Moscow, 119571, Russian Federation; Andreev, A., Lomonosov Moscow State University, Leninskiye Gory, 84, Moscow, 119991, Russian Federation; Aleshkovski, I., Lomonosov Moscow State University, Leninskiye Gory, 84, Moscow, 119991, Russian Federation; Korotayev, A., National Research University ‘Higher School of Economics’, Myasnitskaya St., 20, Moscow, 101000, Russian Federation";;;For the first-world citizens, globalisation seems to be an all-pervasive phenomenon. Our research reveals that global connectivity rates differ dramatically for various countries and correspondingly, their populations. What will this picture look like in, say, 50 years? We combine demographic projections with our knowledge on the recent dynamics of national rates of global connectivity to estimate the proportion of world population which is expected to live in countries with varying rates of global connectivity. We show that the distribution of world population among the states with various rates of global connectivity is bound to experience significant changes in the coming decades, which should be taken into account at various attempts of providing global foresight. Copyright © 2018 Inderscience Enterprises Ltd.;"Demographic projections; Global connectivity; Global foresight; Global population forecast; Globalisation; Measuring globalisation; World population";"Zinkina, J.; Russian Presidential Academy of National Economy and Public Administration, Prospect Vernadskogo, 84, Russian Federation; email: juliazin@list.ru";Inderscience Enterprises Ltd.;17402816;;;;English;Int. J. Foresight Innov. Policy;2-s2.0-85058901650;;;;;;;;;;;;;;;;;;;;;;
Shevchenko E.V., Pomogaev V.M., Stukach V.F., Tretiak V.P.;Integration of foresight into science, technology and innovation policy planning;2018;Proceedings of the 31st International Business Information Management Association Conference, IBIMA 2018: Innovation Management and Education Excellence through Vision 2020;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060808379&partnerID=40&md5=db08a9cc32fabff493acabc3ef658c08;"Strategic Planning and Analytics, Department of Science Fund, Astana, Kazakhstan; Omsk State Agriculture University, Omsk, Russian Federation; Department of Management and Marketing of the State Educational Establishment, Omsk State Agriculture University, Higher School of the Russian Federation, Omsk, Russian Federation; K.G. Razumovsky Moscow State University of Technology and Management, Moscow, Russian Federation";"Shevchenko, E.V., Strategic Planning and Analytics, Department of Science Fund, Astana, Kazakhstan; Pomogaev, V.M., Omsk State Agriculture University, Omsk, Russian Federation; Stukach, V.F., Department of Management and Marketing of the State Educational Establishment, Omsk State Agriculture University, Higher School of the Russian Federation, Omsk, Russian Federation; Tretiak, V.P., K.G. Razumovsky Moscow State University of Technology and Management, Moscow, Russian Federation";;;The paper outlines different aspects of integration of the foresight into the process of science, technology and innovation (STI) policy planning and presents a set of recommendations that can help to manage uncertainties and ensure policy alignment with the future needs of society. The objective of this research is to investigate the role of technology foresight in the decision-making process and to elaborate recommendations on effective integration of national foresight into the process of STI policy planning. In the course of study such techniques as scoping, capability analysis, benchmarking, budget planning, foresighting, structured planning were investigated. The research confirms that from a perspective of future management, foresight provides a basis for STI policy planning by identification of key areas for long-term investments and assessing long-term perspectives of science, technology, economy and society development. © 2018 Elsevier Ltd. All rights reserved.;"Forecast; Foresight; Priority setting; S&T program planning; Strategic implementation; Strategic planning";;International Business Information Management Association, IBIMA;;9,78E+12;;;English;Proc. Int. Bus. Inf. Manag. Assoc. Conf., IBIMA: Innov. Manag. Educ. Excell. Vis.;2-s2.0-85060808379;;;;;;;;;;;;;;;;;;;;;;
Sommarberg M., Mäkinen S.J.;A method for anticipating the disruptive nature of digitalization in the machine-building industry;2018;Technological Forecasting and Social Change;10.1016/j.techfore.2018.07.044;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051146837&doi=10.1016%2fj.techfore.2018.07.044&partnerID=40&md5=23f20d45f2456b6fae5ab5e5201b970b;Tampere University of Technology, PO BOX 541, Tampere, FI-33101, Finland;"Sommarberg, M., Tampere University of Technology, PO BOX 541, Tampere, FI-33101, Finland; Mäkinen, S.J., Tampere University of Technology, PO BOX 541, Tampere, FI-33101, Finland";;;The purpose of this paper is to create a technology foresight method in which the visual analogue scale is used to harness the wisdom of expert crowds, namely, industry experts, in anticipating potential disruptions in an industry. In an empirical demonstration, we investigate experts' views and perceptions of possible future disruption caused by digitalization in an established machine-building industry. We demonstrate the usability of the proposed method in detecting future worldviews of experts grouped by their position in the value chain. The results show polarized responses, with considerable clustering among groups. For example, respondents who were inclined to view digital technologies as disruptive (i.e., as changing the paradigm of value creation in machine-building) also viewed them as related more to service and business models than to products and operation. We discuss the theoretical and practical contributions of the proposed method and suggest fruitful avenues for future research. © 2018 Elsevier Inc.;"Disruptive technologies; Industry transformation; Strategy formation; Technology foresight; Visual analogue scale";"Sommarberg, M.; Tampere University of Technology, PO BOX 541, Finland; email: matti.sommarberg@tut.fi";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85051146837;;;;;;;;;;;;;;;;;;;;;;
Maresch D., Gartner J.;Make disruptive technological change happen - The case of additive manufacturing;2018;Technological Forecasting and Social Change;10.1016/j.techfore.2018.02.009;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045110216&doi=10.1016%2fj.techfore.2018.02.009&partnerID=40&md5=8489407450b7c5cd30d2346ecdad5153;"Department for Entrepreneurship and Relationship Management, University of Southern Denmark, Universitetsparken 1, Kolding, DK-6000, Denmark; Department of Management Studies, Aalto University School of Business, Aalto, FIN-00076, Finland";"Maresch, D., Department for Entrepreneurship and Relationship Management, University of Southern Denmark, Universitetsparken 1, Kolding, DK-6000, Denmark; Gartner, J., Department of Management Studies, Aalto University School of Business, Aalto, FIN-00076, Finland";;;Disruptive technological change can contribute to a more abundant world. However, potentially disruptive technologies often struggle to significantly influence practice. One prominent example is additive manufacturing (AM). Although AM is often regarded as the next great technological revolution in waiting, it has not yet established itself on a large scale in many fields of application. We investigate the reasons behind those challenges by looking at the various fields in which AM is applied and relating them to the specific challenges AM faces, as well as the opportunities it offers in those fields. Our findings rely on a multi-perspective technology foresight process that is based on a discourse analytic approach and that comprises data tomography covering the biggest German-language online magazine on AM and qualitative interview data collected from a range of AM stakeholders. The findings provide an empirically well-founded evaluation and explanation of the link between the challenges and opportunities offered by AM and the extent to which this disruptive technology is leveraged in specific fields. The findings prompt recommendations on how new potentially disruptive technologies can foster abundance in traditional, well established market economies based on the example of the well-developed but traditional market economy of Austria. © 2018 Elsevier Inc.;"3D printing; Additive manufacturing; Discourse analysis; Technology foresight";"Gartner, J.; Department of Management Studies, Aalto University School of BusinessFinland; email: Johannes.gartner@aalto.fi";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-85045110216;;;;;;;;;;;;;;;;;;;;;;
