id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3813	electromagnetically induced transparency	-0.7113	2.5092	18	1	1	6	2013.6667	8.1667	0.9748
3851	electronic warfare	0.0707	-0.32	4	8	9	7	2014.4286	0.7143	0.1004
3874	elisa	-0.5543	0.1448	2	1	1	5	1999.8	9	0.3216
3897	emccd	0.4235	0.1248	3	5	6	5	2007.8	6.8	0.4393
3898	emd	-0.5895	-0.1606	14	10	15	8	2014.125	0.5	0.0714
3921	empirical mode decomposition	-0.4875	0.0692	9	10	11	11	2011.8182	4.7273	0.5615
3922	empirical mode decomposition (emd)	-0.4327	0.2186	15	10	10	8	2014.125	5.125	0.606
3956	energy detection	0.0141	-0.0622	12	12	24	15	2013.7333	7.0667	0.8703
4018	environmental scanning	0.8213	-0.1017	6	4	4	5	2014.4	2.4	0.3013
4050	epr	-1.3394	0.0437	15	3	3	14	2009	6.1429	0.5144
4086	esr	-1.3211	0.0418	15	2	2	8	2004.125	8.375	0.4676
4097	estimation	-0.2076	0.1389	2	13	20	10	2007.8	5.9	0.6579
4203	expression	1.6183	0.1301	5	6	7	10	2007.3	15.4	0.8791
4297	fast acquisition	0.0214	0.7592	1	9	13	9	2013.7778	1	0.1236
4322	fault diagnosis	-0.3568	-0.2369	14	40	99	75	2012.0533	8.6133	1.2273
4351	feature extraction	-0.4617	-0.1198	14	22	39	30	2011.6667	4.2333	0.39
4397	fft	0.0997	0.4234	1	13	14	14	2013.8571	2.0714	0.2791
4467	filter	0.0762	0.1746	8	8	8	15	2013	1.6667	0.1429
4471	filter banks	-0.2123	-0.3894	4	8	14	6	2008	1.5	0.124
4513	fish	1.5531	-0.0392	5	7	9	23	2008.9565	18.7391	1.2275
4517	fisher information	-0.1019	-1.0748	20	1	1	7	2009.2857	14	1.4323
4578	fluorescence	0.4702	0.1167	3	3	4	13	2009.0769	5.7692	0.451
4584	fluorescence in situ hybridization	1.4997	-0.0414	5	4	5	7	2006.2857	31.1429	1.6472
4621	fog	0.2198	-0.561	11	5	7	5	2013.2	0.2	0.0195
4649	foresight	0.9259	-0.0726	6	7	7	16	2012.75	17.375	1.6617
4677	four-wave mixing	-0.7046	2.4837	18	5	10	8	2010.75	4.75	0.5378
4692	fpga	0.1389	0.5371	1	19	26	22	2013.6364	1.3636	0.1572
4702	fractional fourier transform	-0.477	0.1253	13	5	5	6	2013.5	2.5	0.9257
4732	free radicals	-1.3526	0.0452	15	1	1	6	2002.6667	72.5	3.0254
4742	frequency	-0.1419	0.1361	2	8	9	6	2012.3333	0.8333	0.0928
4754	frequency detection	-0.6683	0.1966	2	7	8	5	2012.8	4.4	0.4117
4769	frequency estimation	-0.1878	0.5338	1	6	6	8	2011.5	1.5	0.155
4781	frequency modulation	-0.2657	-0.4965	16	5	6	5	2013.2	4.6	1.0727
4867	future	0.9687	-0.1084	6	1	1	5	2008.4	21	1.9349
4871	future sign	0.8809	-0.2431	6	1	2	5	2014.4	9.2	1.29
4908	gain	0.3433	0.128	3	5	5	7	2008.8571	1.8571	0.1288
4969	gas sensor	0.1508	-0.4053	3	3	3	5	2011.8	4.4	0.3674
5036	gene expression	1.3298	0.1133	5	6	8	19	2002.3158	35	1.2646
5054	generalized gaussian distribution	-2.58	-0.7973	22	2	5	5	2007.6	1.6	0.0836
5074	genetic algorithm	-0.6027	-0.2432	11	13	20	19	2013.0526	5.8421	0.9859
5170	global navigation satellite system	-0.0499	0.7152	1	9	9	8	2015.25	6.25	0.8732
5171	global navigation satellite system (gnss)	0.1276	0.7325	1	1	1	7	2013.8571	1.5714	0.1716
5180	global positioning system	-0.0243	0.5309	1	13	14	13	2010.6923	4.0769	0.401
5181	global positioning system (gps)	-0.0831	0.596	1	18	27	17	2010.5294	8.2941	0.8771
5217	gnss	-0.1675	0.6462	1	31	57	43	2014.4419	3.0698	0.5118
5221	gnss receiver	-0.0536	0.6274	1	7	10	9	2015.1111	4.5556	0.9161
5248	gps	-0.0141	0.6159	1	34	80	61	2012.9836	5.9672	0.5835
5255	gps receiver	-0.1042	0.5066	9	5	5	7	2014.5714	2.1429	0.4292
5288	graphene	-1.4979	-0.2417	17	1	1	8	2014.875	42.5	5.8574
5342	ground penetrating radar (gpr)	0.2859	-0.132	4	7	9	6	2009.8333	3.8333	0.2036
5423	harmonic detection	-0.233	-0.492	16	2	2	5	2009.8	2.4	0.3634
5546	high dynamic	-0.1282	0.6592	1	12	14	11	2014	2.6364	0.394
5557	high frequency	-0.5502	-0.3455	7	7	8	6	2011.6667	4.5	0.7627
5572	high precision	0.2268	-0.1738	2	4	6	5	2010.2	4.6	0.3412
5579	high resolution	0.206	-0.1145	2	4	5	8	2012	4.625	0.5221
5584	high sensitivity	0.1098	0.6366	1	24	34	24	2014.5	4.75	0.6991
5656	hilbert transform	-0.3336	0.2092	9	6	8	7	2013.5714	3	0.4179
5661	hippocampus	1.7375	0.1157	5	4	4	5	2003.8	21.2	0.8597
5711	horizon scanning	0.9334	-0.0387	6	7	8	8	2014.875	9.625	1.7555
5733	hough transform	-0.3428	0.1006	13	3	5	8	2007.875	3.125	0.2284
5757	human	1.7372	0.0469	5	4	6	10	2002.2	33.4	1.229
5849	hyperspectral	0.0769	-0.5229	11	7	8	5	2009.6	30.4	1.2141
5852	hyperspectral imagery	0.1566	-0.7992	11	3	8	5	2009.4	29.8	3.4254
5878	ica	-0.5403	-0.2483	13	4	5	8	2010.25	2.75	0.3134
5923	image enhancement	-0.131	-0.0616	13	6	8	6	2010	7.1667	0.6959
5931	image processing	0.1182	-0.0093	4	8	12	15	2012.8	7.4	0.9336
5942	imaging	0.1264	-0.2943	10	3	6	6	2008.3333	19.8333	1.3024
5968	immunocytochemistry	1.6346	0.1438	5	1	1	6	2003.5	52.5	1.66
5971	immunofluorescence	1.4965	0.1045	5	3	3	6	2004	21.8333	0.8919
5977	immunohistochemistry	1.6623	0.0695	5	14	23	38	2004.4474	42.9737	1.5376
6027	impulsive noise	-0.2795	0.3402	9	2	2	5	2009.6	10	1.5686
6038	in situ hybridization	1.6467	0.102	5	11	19	43	2000.5116	34.1163	1.1677
6059	incipient fault	-0.69	-0.3517	14	8	11	5	2009.4	18.8	2.2591
6061	incipient fault diagnosis	0.0428	0.0599	8	3	4	6	2015.6667	7.1667	1.2871
6073	independent component analysis	-0.5334	-0.0085	13	6	10	14	2009	1	0.1475
6074	independent component analysis (ica)	-0.3108	-0.0006	14	7	13	9	2010	8	0.6974
6098	indoor positioning	0.541	0.3396	8	6	6	6	2012	2.1667	0.3139
6145	information processing	0.1307	-0.2515	3	11	13	14	2009	5.5	0.565
6162	infrared	0.1862	-0.3109	3	8	8	7	2013	3.1429	0.7583
6205	innovation	0.9009	0.0441	6	4	5	6	2011.6667	7.3333	0.9838
6217	ins	0.0561	0.7086	1	9	14	7	2011.1429	8.5714	0.6457
6233	instantaneous frequency	0.2485	-0.2878	4	3	4	5	2013.2	11.2	1.7696
6241	instrumentation	0.461	-0.1524	16	6	7	5	2007	4.2	0.9442
6294	intelligent control	-0.3112	-0.8361	7	2	2	5	2008.8	0.6	0.0467
6324	interference	0.1651	0.0395	2	10	10	7	2007.5714	4.1429	0.2298
6327	interference cancellation	-0.1275	-0.0982	4	10	11	10	2010.3	8.6	0.6259
6332	interference suppression	-0.1169	-0.3788	4	5	6	7	2013.7143	1.7143	0.1823
6334	interferometer	0.309	0.3496	8	1	1	6	2007.6667	4	0.5009
6337	interferometry	0.4471	0.0489	10	7	7	6	2014.5	1.6667	0.2782
6353	intermittent chaos	-0.2115	-0.0961	2	12	23	14	2009.9286	6.4286	0.6667
6563	josephson junction	-1.3522	-0.4628	17	1	1	5	2016.4	3	0.4226
6576	kalman filter	-0.052	0.6749	1	13	18	16	2013.6875	1.9375	0.3026
6584	karyotype	1.5799	-0.0507	5	1	2	5	2012.8	13.2	0.5411
6649	labview	0.0289	-0.1036	2	12	16	16	2011.1875	0.875	0.1208
6698	large-scale structure of universe	0.4006	-1.4879	11	2	3	5	2007.2	13.4	0.8072
6722	laser fuze	0.1671	-0.2756	3	6	8	5	2010.8	3	0.281
6739	laser radar	0.0107	-0.3298	12	17	20	13	2009.9231	9.2308	1.0857
6742	laser ranging	-0.0251	0.049	9	8	10	8	2013	0.875	0.5066
6851	levy noise	-0.8642	-0.4909	14	3	6	5	2016	5.8	1.0215
6855	lfm signal	-0.4061	0.1683	13	7	8	6	2009.5	5.5	0.9364
6865	lidar	0.1275	-0.1439	10	11	19	18	2010.5	10.4444	0.7471
7036	locally optimum detection	-1.4778	0.4221	21	1	4	7	1997.1429	5.5714	0.1743
7054	lock-in amplifier	0.037	-0.1559	16	29	36	42	2010.6429	1.1429	0.1044
7143	low snr	0.0137	-0.4196	19	10	12	9	2013.1111	4.8889	0.5816
7223	lyapunov exponent	-0.602	0.1196	2	10	13	12	2011.5	5	0.707
7224	lyapunov exponents	-0.565	-0.102	9	10	12	5	2009.2	5.4	0.393
7251	machine learning	0.5734	-0.0989	6	9	9	5	2015.2	1	0.3125
7303	magnetic resonance imaging	0.2629	-0.7397	11	1	2	7	2010.1429	19.5714	1.0343
7427	matched filter	0.1203	-0.66	11	11	19	12	2009.6667	18.75	1.1255
7472	maximum likelihood estimation	-0.2658	0.8818	1	1	2	6	2012.6667	42.1667	4.0488
7505	measurement	0.4575	0.0011	3	11	11	15	2010.5333	2.4667	0.3181
7512	measurement system	0.2312	0.2533	3	4	5	5	2011.2	0.6	0.0421
7529	mechanical fault diagnosis	-0.7914	-0.0984	15	3	7	5	2006.4	11.4	1.0006
7584	mems	0.2897	0.1662	10	16	16	17	2011.5882	0.8235	0.0801
7641	methods: data analysis	0.3657	-1.3833	11	4	7	13	2014.2308	24.3846	2.5849
7644	methods: numerical	0.3779	-1.4498	11	2	4	6	2015	30.5	4.6395
7646	methods: statistical	0.3853	-1.442	11	3	8	10	2014.2	25.3	3.4164
7652	metrology	-0.5522	0.0143	2	26	32	20	2012.15	1.3	0.1641
7695	microarray	0.7922	0.0985	10	6	7	5	2006.8	31.2	1.8031
7785	mimo	0.2639	-0.4944	19	1	1	6	2014.6667	1.3333	0.2353
7874	model	0.3779	0.2846	8	5	5	5	2006.6	19.8	1.5261
7888	modeling	-0.5355	-0.3791	7	4	5	7	2011.2857	68.4286	2.6381
7914	modulation	-0.1911	-0.4016	4	8	8	6	2006.8333	1.3333	0.1728
7946	monitoring	-0.4295	-0.364	7	8	9	7	2013.1429	2.4286	0.891
8010	mouse	1.7228	0.0811	5	10	16	11	2004.6364	22.5455	1.0038
8032	mri	-0.405	0.5741	12	2	4	5	2013	7.8	1.0298
8033	mrna	1.7646	0.1038	5	5	9	12	1998.1667	101	3.1043
8082	multi-frequency weak signal detection	-0.7787	0.045	9	6	7	5	2013.6	8.6	1.2573
8168	multipath	0.0114	0.566	1	5	6	8	2013.25	12.5	1.125
8177	multiple access interference	-0.0849	0.1772	4	3	3	5	2009.6	0.8	0.0997
8217	multiplicative noise	-1.4582	0.4158	21	3	6	7	2000.2857	6.4286	0.2708
8225	multiscale noise tuning	-0.6869	-0.2189	10	4	9	6	2014.5	21.6667	5.1787
8329	nanoparticles	-1.4903	-0.2628	17	2	2	5	2015.4	4.2	0.6757
8460	neural network	0.0882	0.0391	4	17	18	13	2010.6923	2.0769	0.508
8463	neural networks	-0.1735	-0.7808	7	12	14	11	2009	2.5455	0.1827
8535	nh code	0.0515	0.8728	1	5	9	7	2016.4286	0.7143	0.1614
8583	nmr	1.5711	0.0937	5	1	1	10	2008.4	9.1	0.8025
8602	noise	0.0505	-0.0231	16	51	100	64	2009.7031	5.7344	0.4639
8604	noise analysis	-0.439	0.3294	10	4	4	5	2012.6	2	0.2006
8616	noise figure	0.2142	0.1461	3	10	13	7	2008	7	0.7367
8628	noise reduction	0.0133	-0.3612	3	4	4	6	2009	4.1667	0.4352
8634	noise suppression	-0.1776	0.8871	1	1	1	5	2015.4	3.8	0.5082
8682	non-gaussian noise	-0.2208	-0.6249	20	11	19	14	2009.0714	18.7143	1.6367
8689	non-invasive	-0.5698	-0.5207	7	3	3	5	2011.2	11.2	1.196
8756	nonlinear dynamics	-1.4667	-0.2424	17	6	9	6	2012.1667	5.3333	1.3524
8768	nonlinear optics	-0.6577	2.3136	18	5	16	13	2009.5385	1.1538	0.1729
8780	nonlinear system	-0.502	0.361	10	6	13	10	2009.9	8	1.1419
8782	nonlinear systems	-0.3125	-0.7091	20	4	8	5	2004	24	1.6827
8791	nonlinearity	0.1656	0.2112	9	7	7	6	2007.3333	4.3333	0.4106
8880	numerical simulation	-0.1989	-0.4348	4	6	6	8	2010.375	2	0.609
8925	ofdm	0.2452	-0.4669	19	6	8	7	2014	3	0.3506
9040	optical communication	-0.6796	2.4362	18	4	14	6	2008.5	1.6667	0.1735
9064	optical fiber sensor	0.11	-0.4245	3	4	4	5	2008.6	4.2	0.2265
9065	optical fiber sensors	-0.4752	-0.8099	7	1	1	7	2005.5714	11.4286	0.5464
9143	optimization	-0.2846	0.4103	12	16	22	17	2009.9412	4.7059	0.8214
9246	over-sampling	0.2255	-0.0998	2	5	6	6	2011	4.8333	0.433
9356	parameter estimation	-0.0831	-0.2834	4	11	16	12	2009.8333	23.0833	0.9757
9375	parametric amplification	-0.6993	2.4431	18	4	15	7	2006	1.4286	0.0406
9393	partial discharge	-0.1836	0.3599	9	3	3	6	2016.8333	1	0.2701
9411	particle swarm optimization	-0.394	-0.322	12	9	11	9	2014.5556	3.3333	1.2187
9452	pattern recognition	-0.0249	-0.149	4	10	16	9	2009.6667	2.8889	0.1778
9467	pcr	1.7141	0.1482	5	4	4	5	2004.2	16.4	1.1361
9602	phase locked loop	0.0458	0.4787	1	5	6	6	2009.3333	3.5	0.3116
9607	phase measurement	-0.5266	1.832	18	3	3	5	2008.6	15.8	0.9576
9610	phase noise	0.0226	0.3206	1	7	8	5	2010	8.8	0.9607
9618	phase sensitive detection	0.0972	0.0901	8	4	4	5	2011.6	0.4	0.0747
9619	phase sensitive detector	0.3984	-0.1803	16	3	4	5	2010	2.2	0.126
9628	phase space reconstruction	-0.4708	-0.219	11	8	10	6	2010.5	5.5	0.426
9632	phase transition	-0.6744	0.2733	2	2	5	5	2012.4	4.2	0.9444
9729	photon counting	0.1634	-0.3426	10	11	19	13	2013.5385	3	0.6547
9947	polarization	0.2255	-0.9206	11	4	5	9	2010.2222	19.2222	1.3106
9981	polymerase chain reaction	1.7274	0.1559	5	2	2	7	1995.4286	26.7143	0.6726
10076	power spectrum	-0.2801	-0.1791	16	7	12	5	2006.8	18.6	1.2989
10096	preamplifier	0.2573	0.1594	3	8	9	9	2011.8889	3.4444	0.2381
10103	precision	0.2427	0.2869	3	4	5	6	2011.5	2.5	0.3392
10159	principal component analysis	-0.1535	-0.4887	3	7	7	6	2011.6667	7.5	0.7927
10337	pulse compression	-0.178	-0.8375	7	1	1	5	2005.4	2.6	0.1544
10569	radio astronomy	-0.12	-0.2968	4	6	6	5	2009.2	11.8	0.7738
10628	raman scattering	-0.4644	-0.7942	7	4	4	7	2010	12.7143	1.9096
10631	raman spectroscopy	-0.3704	-0.8092	7	7	7	12	2011	10.9167	1.8142
10693	rat	1.4852	0.09	5	9	10	10	2000.5	53.8	1.7372
10743	real-time	-0.2682	0.2895	9	9	9	7	2014.4286	5.2857	0.8216
10766	receiver	-0.0361	0.4831	10	11	13	11	2011.2727	1.4545	0.1542
10783	receivers	0.223	0.2063	3	10	10	5	1999	21.6	1.4188
10898	remote sensing	-0.0187	-0.2465	4	8	15	17	2012.8824	9.8235	1.0061
10947	resolution	-0.1185	0.1946	12	2	2	5	2006.4	5.6	0.1485
10950	resonance	0.0482	-0.3541	3	4	4	7	2008.1429	28.7143	1.4004
11009	rfid	0.3862	0.3613	8	3	3	5	2013.6	5.8	0.9731
11111	rolling bearing	-0.6031	-0.3075	14	18	36	16	2012.375	8.8125	0.8261
11169	rt-pcr	1.7834	0.079	5	2	4	9	2006.4444	12.5556	0.656
11257	satellite navigation	-0.2634	0.4703	10	4	4	6	2013.3333	1.5	0.227
11287	scale transformation	-0.7243	-0.2723	7	7	12	7	2012.2857	3.1429	0.4248
11308	scattering	0.2046	0.6978	1	2	2	7	2013.5714	4.5714	0.9158
11320	scenario planning	0.7686	-0.0666	6	4	6	7	2013.4286	15.8571	2.169
11321	scenarios	1.0407	0.0055	6	4	4	6	2012.5	4.1667	0.5045
11324	schizophrenia	1.3508	0.1211	5	1	1	7	2006.7143	60	2.7696
11407	security	0.9622	-0.0864	6	2	2	5	2012.2	2.2	0.2697
11509	semg	-0.0459	-0.1167	4	3	4	5	2015	1.2	0.2604
11537	sensitivity	-0.1066	0.2824	12	24	28	26	2012.7308	7.0769	0.9383
11544	sensor	0.1171	0.181	10	19	25	21	2009.8095	1.8571	0.2537
11556	sensors	0.201	0.0476	3	9	9	11	2013.5455	12	1.5065
11609	sex chromosomes	1.5308	-0.0482	5	2	2	5	2010.8	5	0.9948
11692	signal	0.3489	-0.0754	2	11	12	9	2009.4444	1.4444	0.124
11694	signal acquisition	-0.1557	0.799	1	13	19	15	2013.3333	2.9333	0.405
11698	signal analysis	0.715	-0.1115	6	3	3	7	2008	2.1429	0.2031
11707	signal combining	0.3275	-0.5187	19	3	5	6	2012.1667	1.8333	0.1937
11720	signal detection	-0.2976	-0.1254	2	78	140	113	2010.1062	8.9027	0.6927
11726	signal enhancement	0.2489	-0.7123	11	4	7	8	2013.375	0.75	0.0798
11728	signal extraction	-0.3922	-1.1351	7	3	4	7	2011.1429	2.4286	0.3358
11748	signal processing	0.0516	-0.0869	3	55	78	77	2009.7792	8.1948	0.6621
11759	signal recognition	-0.3799	-1.1498	7	4	5	6	2014.6667	2.3333	0.3895
11761	signal recovery	-0.322	0.1427	13	8	10	5	2012	8.4	0.8742
11773	signal to noise ratio	-0.0924	-0.0854	12	30	36	31	2011.871	6.5484	0.6412
11779	signal tracking	-0.0805	0.6637	1	10	10	9	2011.6667	0.6667	0.0668
11782	signal transduction	-1.2887	-0.6269	17	1	1	5	1999.4	32.4	1.467
11800	signal-to-noise ratio	-0.2136	-0.1333	10	28	43	44	2012.2273	7.1136	1.1007
11802	signal-to-noise ratio (snr)	-0.8259	-0.0066	15	15	20	11	2012.7273	2.4545	0.286
11813	signals	-0.0246	0.3938	1	7	7	6	2006.3333	15.5	0.9546
11850	simulation	-0.471	-0.37	7	15	20	17	2012.5882	1	0.1779
11926	singular value decomposition	-0.0168	0.1476	8	7	7	8	2013.875	5.5	0.8377
12014	snr	-0.0469	-0.0559	3	26	33	36	2012.2778	1.75	0.1883
12029	social networks	0.7842	0.139	6	3	3	6	2014.1667	7.3333	2.0165
12069	software receiver	0.0538	0.6762	1	18	31	13	2011.3077	2.4615	0.23
12193	sparsity	-0.4542	0.4096	13	1	1	5	2015.8	5.6	0.8205
